CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 10:51:54 PM,,,,,,,,,,,,,,,,,,,,,
Station,"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,
Parameter,"AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:20:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,
 , ,,Anand Vihar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2
11-02-2013 00:00,12-02-2013 00:00,AV,,739.01,,296.4,,291.78,18.7,13.54,,,2.16,3.9,1.51,140.94,236.72,193.25,511.71,39.5,18.01
12-02-2013 00:00,13-02-2013 00:00,AV,,740.68,,161.82,,287.47,19.37,9.23,,0.68,1.31,2.76,1.48,112.96,94.79,170.41,290.5,29.28,21.68
13-02-2013 00:00,14-02-2013 00:00,AV,,737.7,,133.77,,290.37,20.22,9.73,,0.59,1.53,2.77,1.51,105.19,129.06,181.0,348.57,25.22,9.81
14-02-2013 00:00,15-02-2013 00:00,AV,,733.52,,159.9,,286.9,21.03,12.65,,0.4,2.72,3.42,1.49,109.33,199.72,183.9,450.92,24.88,20.3
15-02-2013 00:00,16-02-2013 00:00,AV,,727.01,,212.1,,287.0,19.89,18.72,,0.14,2.6,3.56,1.98,144.17,254.0,146.36,492.93,23.01,19.93
16-02-2013 00:00,17-02-2013 00:00,AV,,723.65,,27.27,,58.35,16.64,2.16,,0.14,0.43,0.55,1.2,139.12,7.46,86.36,89.99,9.96,10.88
17-02-2013 00:00,18-02-2013 00:00,AV,,751.35,,151.84,,209.29,17.29,15.75,,,0.78,3.06,0.52,86.93,164.13,158.33,377.19,36.85,24.92
18-02-2013 00:00,19-02-2013 00:00,AV,,755.67,,117.14,,255.8,17.25,9.86,,0.56,1.01,2.62,0.35,95.78,168.92,144.18,370.93,29.48,6.48
19-02-2013 00:00,20-02-2013 00:00,AV,,756.15,,101.22,,256.05,18.46,8.48,,0.45,1.02,3.12,2.46,97.55,162.48,156.13,372.83,37.17,6.46
20-02-2013 00:00,21-02-2013 00:00,AV,,758.32,,143.12,,257.02,19.32,11.51,,0.48,1.12,4.56,2.51,111.02,129.03,141.87,312.54,43.73,19.35
