CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,
Time: 01:33:59 AM,,,,,,,,,,,,,,,,
Station,"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,AT,SO2,Benzene,Toluene,NH3",,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,
To,01-01-2018 T15:01:59Z 00:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,,
 , ,,Mandir Marg , , , , ,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Toluene,NH3
18-02-2013 00:00,19-02-2013 00:00,MM,,,,227.08,77.3,738.69,213.89,37.67,0.0,139.22,0.0,0.0,8.71,61.25
19-02-2013 00:00,20-02-2013 00:00,MM,,,,248.1,71.72,738.58,210.95,17.96,0.0,113.78,0.0,0.0,7.61,63.78
20-02-2013 00:00,21-02-2013 00:00,MM,,,,250.7,73.77,738.63,230.02,35.48,0.0,133.51,0.0,0.0,8.66,67.67
21-02-2013 00:00,22-02-2013 00:00,MM,,,,179.56,68.17,738.55,218.51,30.15,0.0,141.48,0.0,0.0,7.12,70.02
22-02-2013 00:00,23-02-2013 00:00,MM,,,,144.28,68.62,738.67,197.74,12.58,0.0,117.16,0.0,0.0,5.86,80.19
23-02-2013 00:00,24-02-2013 00:00,MM,,,,127.66,58.36,738.0,308.75,40.88,0.0,251.28,0.0,0.0,6.0,80.22
24-02-2013 00:00,25-02-2013 00:00,MM,,,,,,,,,,,,,,
25-02-2013 00:00,26-02-2013 00:00,MM,,,,,,,,,,,,,,
26-02-2013 00:00,27-02-2013 00:00,MM,,,,,,,,,,,,,,
27-02-2013 00:00,28-02-2013 00:00,MM,,,,,,,,,,,,,,
28-02-2013 00:00,01-03-2013 00:00,MM,,,,,,,,,,,,,,
01-03-2013 00:00,02-03-2013 00:00,MM,,,,,,,,,,,,,,
02-03-2013 00:00,03-03-2013 00:00,MM,,,,,,,,,,,,,,
03-03-2013 00:00,04-03-2013 00:00,MM,,,,,,,,,,,,,,
04-03-2013 00:00,05-03-2013 00:00,MM,,,,,,,,,,,,,,
05-03-2013 00:00,06-03-2013 00:00,MM,,,,,,,,,,,,,,
06-03-2013 00:00,07-03-2013 00:00,MM,,,,,,,,,,,,,,
07-03-2013 00:00,08-03-2013 00:00,MM,,,,,,,,,,,,,,
08-03-2013 00:00,09-03-2013 00:00,MM,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,MM,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,MM,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,MM,,,,,,,,,,,,,,
12-03-2013 00:00,13-03-2013 00:00,MM,,,,,,,,,,,,,,
13-03-2013 00:00,14-03-2013 00:00,MM,,,,,,,,,,,,,,
14-03-2013 00:00,15-03-2013 00:00,MM,,,,,,,,,,,,,,
15-03-2013 00:00,16-03-2013 00:00,MM,,,,,,,,,,,,,,
16-03-2013 00:00,17-03-2013 00:00,MM,,,,,,,,,,,,,,
17-03-2013 00:00,18-03-2013 00:00,MM,,,,,,,,,,,,,,
18-03-2013 00:00,19-03-2013 00:00,MM,,,,,,,,,,,,,,
19-03-2013 00:00,20-03-2013 00:00,MM,,,,,,,,,,,,,,
20-03-2013 00:00,21-03-2013 00:00,MM,,,,,,,,,,,,,,
21-03-2013 00:00,22-03-2013 00:00,MM,,,,,,,,,,,,,,
22-03-2013 00:00,23-03-2013 00:00,MM,,,,,,,,,,,,,,
23-03-2013 00:00,24-03-2013 00:00,MM,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,MM,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,MM,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,MM,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,MM,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,MM,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,MM,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,MM,,,,,,,,,,,,,,
31-03-2013 00:00,01-04-2013 00:00,MM,,,,,,,,,,,,,,
01-04-2013 00:00,02-04-2013 00:00,MM,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,MM,,,,,,,,,,,,,,
03-04-2013 00:00,04-04-2013 00:00,MM,,,,,,,,,,,,,,
04-04-2013 00:00,05-04-2013 00:00,MM,,,,251.25,21.65,737.38,284.32,,,,,,9.26,
05-04-2013 00:00,06-04-2013 00:00,MM,,,,243.87,18.04,737.14,292.02,8.68,0.0,30.56,0.0,0.0,11.39,44.91
06-04-2013 00:00,07-04-2013 00:00,MM,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,MM,,,,,,,,,,,,,,
08-04-2013 00:00,09-04-2013 00:00,MM,,,,268.03,26.34,737.58,177.74,4.18,0.0,38.79,0.0,0.0,49.27,42.66
09-04-2013 00:00,10-04-2013 00:00,MM,,,,196.49,29.15,737.61,204.66,1.35,0.0,40.83,0.0,0.0,41.2,48.52
10-04-2013 00:00,11-04-2013 00:00,MM,,,,218.9,26.75,737.59,204.98,5.08,0.0,55.23,0.0,0.0,48.69,58.49
11-04-2013 00:00,12-04-2013 00:00,MM,,,,242.59,26.31,737.59,206.78,7.71,0.0,78.04,0.0,0.0,63.78,74.23
12-04-2013 00:00,13-04-2013 00:00,MM,,,,260.26,27.14,737.62,207.37,7.98,0.0,93.73,0.0,0.0,136.57,70.31
