CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Monday, Mar 12 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 02:20:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"IGI Airport Terminal - 3, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T16:47:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"IGI Airport Terminal - 3, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,IGI Airport Terminal - 3 , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,NO,NO2,NOx,CO,CO2,Ozone,SR,BP,PP Accum,Power,PM10,PM2.5
22-03-2013 00:00,23-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
23-03-2013 00:00,24-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
31-03-2013 00:00,01-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
01-04-2013 00:00,02-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
03-04-2013 00:00,04-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
04-04-2013 00:00,05-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
05-04-2013 00:00,06-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
06-04-2013 00:00,07-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
08-04-2013 00:00,09-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
09-04-2013 00:00,10-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
10-04-2013 00:00,11-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
11-04-2013 00:00,12-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
12-04-2013 00:00,13-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
13-04-2013 00:00,14-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
14-04-2013 00:00,15-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
15-04-2013 00:00,16-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
16-04-2013 00:00,17-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
17-04-2013 00:00,18-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
18-04-2013 00:00,19-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
19-04-2013 00:00,20-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
20-04-2013 00:00,21-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
21-04-2013 00:00,22-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
06-06-2013 00:00,07-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
07-06-2013 00:00,08-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
08-06-2013 00:00,09-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
09-06-2013 00:00,10-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
10-06-2013 00:00,11-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
11-06-2013 00:00,12-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
12-06-2013 00:00,13-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
13-06-2013 00:00,14-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
14-06-2013 00:00,15-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
15-06-2013 00:00,16-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
16-06-2013 00:00,17-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
17-06-2013 00:00,18-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
18-06-2013 00:00,19-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
19-06-2013 00:00,20-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
20-06-2013 00:00,21-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
21-06-2013 00:00,22-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
22-06-2013 00:00,23-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
23-06-2013 00:00,24-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
24-06-2013 00:00,25-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
25-06-2013 00:00,26-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
26-06-2013 00:00,27-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
27-06-2013 00:00,28-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
28-06-2013 00:00,29-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
29-06-2013 00:00,30-06-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
30-06-2013 00:00,01-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
01-07-2013 00:00,02-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
02-07-2013 00:00,03-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
03-07-2013 00:00,04-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
04-07-2013 00:00,05-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
05-07-2013 00:00,06-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
06-07-2013 00:00,07-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
07-07-2013 00:00,08-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
08-07-2013 00:00,09-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
09-07-2013 00:00,10-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
10-07-2013 00:00,11-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
11-07-2013 00:00,12-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
12-07-2013 00:00,13-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
13-07-2013 00:00,14-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
14-07-2013 00:00,15-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
15-07-2013 00:00,16-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
16-07-2013 00:00,17-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
17-07-2013 00:00,18-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
18-07-2013 00:00,19-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
19-07-2013 00:00,20-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
20-07-2013 00:00,21-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
21-07-2013 00:00,22-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
22-07-2013 00:00,23-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
23-07-2013 00:00,24-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
24-07-2013 00:00,25-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
25-07-2013 00:00,26-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
26-07-2013 00:00,27-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
27-07-2013 00:00,28-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
28-07-2013 00:00,29-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
29-07-2013 00:00,30-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
30-07-2013 00:00,31-07-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
31-07-2013 00:00,01-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
01-08-2013 00:00,02-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
02-08-2013 00:00,03-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
03-08-2013 00:00,04-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
04-08-2013 00:00,05-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
05-08-2013 00:00,06-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
06-08-2013 00:00,07-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
07-08-2013 00:00,08-08-2013 00:00,IGI,,,,,,,,,,,,,,,,,,,,,,,
