CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,
Time: 10:58:29 PM,,,,,,,,,,,,,,,,,,
Station,"DTU, New Delhi - CPCB",,,,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,NH3",,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:27:59Z 00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"DTU, New Delhi - CPCB",,,,,,,,,,,,,,,,,,
 , ,,DTU , , , , ,,,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,NH3
03-05-2013 00:00,04-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-06-2013 00:00,07-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-06-2013 00:00,08-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-06-2013 00:00,09-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-06-2013 00:00,10-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-06-2013 00:00,11-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-06-2013 00:00,12-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-06-2013 00:00,13-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-06-2013 00:00,14-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-06-2013 00:00,15-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-06-2013 00:00,16-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-06-2013 00:00,17-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-06-2013 00:00,18-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-06-2013 00:00,19-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-06-2013 00:00,20-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-06-2013 00:00,21-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-06-2013 00:00,22-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-06-2013 00:00,23-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-06-2013 00:00,24-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-06-2013 00:00,25-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-06-2013 00:00,26-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-06-2013 00:00,27-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-06-2013 00:00,28-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-06-2013 00:00,29-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
29-06-2013 00:00,30-06-2013 00:00,DTU,,,,,,,,,,,,,,,,
30-06-2013 00:00,01-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-07-2013 00:00,02-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-07-2013 00:00,03-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
03-07-2013 00:00,04-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-07-2013 00:00,05-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-07-2013 00:00,06-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-07-2013 00:00,07-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-07-2013 00:00,08-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-07-2013 00:00,09-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-07-2013 00:00,10-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-07-2013 00:00,11-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-07-2013 00:00,12-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-07-2013 00:00,13-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-07-2013 00:00,14-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-07-2013 00:00,15-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-07-2013 00:00,16-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-07-2013 00:00,17-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-07-2013 00:00,18-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-07-2013 00:00,19-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-07-2013 00:00,20-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-07-2013 00:00,21-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-07-2013 00:00,22-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-07-2013 00:00,23-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-07-2013 00:00,24-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-07-2013 00:00,25-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-07-2013 00:00,26-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-07-2013 00:00,27-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-07-2013 00:00,28-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-07-2013 00:00,29-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
29-07-2013 00:00,30-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
30-07-2013 00:00,31-07-2013 00:00,DTU,,,,,,,,,,,,,,,,
31-07-2013 00:00,01-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-08-2013 00:00,02-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-08-2013 00:00,03-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
03-08-2013 00:00,04-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-08-2013 00:00,05-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-08-2013 00:00,06-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-08-2013 00:00,07-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-08-2013 00:00,08-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-08-2013 00:00,09-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-08-2013 00:00,10-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-08-2013 00:00,11-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-08-2013 00:00,12-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-08-2013 00:00,13-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-08-2013 00:00,14-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-08-2013 00:00,15-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-08-2013 00:00,16-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-08-2013 00:00,17-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-08-2013 00:00,18-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-08-2013 00:00,19-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-08-2013 00:00,20-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-08-2013 00:00,21-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-08-2013 00:00,22-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-08-2013 00:00,23-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-08-2013 00:00,24-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-08-2013 00:00,25-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-08-2013 00:00,26-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-08-2013 00:00,27-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-08-2013 00:00,28-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-08-2013 00:00,29-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
29-08-2013 00:00,30-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
30-08-2013 00:00,31-08-2013 00:00,DTU,,,,,,,,,,,,,,,,
31-08-2013 00:00,01-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-09-2013 00:00,02-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-09-2013 00:00,03-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
03-09-2013 00:00,04-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-09-2013 00:00,05-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-09-2013 00:00,06-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-09-2013 00:00,07-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-09-2013 00:00,08-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-09-2013 00:00,09-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-09-2013 00:00,10-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-09-2013 00:00,11-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-09-2013 00:00,12-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-09-2013 00:00,13-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-09-2013 00:00,14-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-09-2013 00:00,15-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-09-2013 00:00,16-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-09-2013 00:00,17-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-09-2013 00:00,18-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-09-2013 00:00,19-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-09-2013 00:00,20-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-09-2013 00:00,21-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-09-2013 00:00,22-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-09-2013 00:00,23-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-09-2013 00:00,24-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-09-2013 00:00,25-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-09-2013 00:00,26-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-09-2013 00:00,27-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-09-2013 00:00,28-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-09-2013 00:00,29-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
29-09-2013 00:00,30-09-2013 00:00,DTU,,,,,,,,,,,,,,,,
30-09-2013 00:00,01-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-10-2013 00:00,02-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-10-2013 00:00,03-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
03-10-2013 00:00,04-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-10-2013 00:00,05-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-10-2013 00:00,06-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-10-2013 00:00,07-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-10-2013 00:00,08-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-10-2013 00:00,09-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-10-2013 00:00,10-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-10-2013 00:00,11-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-10-2013 00:00,12-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-10-2013 00:00,13-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-10-2013 00:00,14-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-10-2013 00:00,15-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-10-2013 00:00,16-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-10-2013 00:00,17-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-10-2013 00:00,18-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-10-2013 00:00,19-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-10-2013 00:00,20-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-10-2013 00:00,21-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-10-2013 00:00,22-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-10-2013 00:00,23-10-2013 00:00,DTU,,,,,,,,,,,,,,,,
