CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:55:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:24:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,Burari Crossing , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
04-05-2013 00:00,05-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
06-06-2013 00:00,07-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
07-06-2013 00:00,08-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
08-06-2013 00:00,09-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
09-06-2013 00:00,10-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
10-06-2013 00:00,11-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
11-06-2013 00:00,12-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
12-06-2013 00:00,13-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
13-06-2013 00:00,14-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
14-06-2013 00:00,15-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
15-06-2013 00:00,16-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
16-06-2013 00:00,17-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
17-06-2013 00:00,18-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
18-06-2013 00:00,19-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
19-06-2013 00:00,20-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
20-06-2013 00:00,21-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
21-06-2013 00:00,22-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
22-06-2013 00:00,23-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
23-06-2013 00:00,24-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
24-06-2013 00:00,25-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
25-06-2013 00:00,26-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
26-06-2013 00:00,27-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
27-06-2013 00:00,28-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
28-06-2013 00:00,29-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
29-06-2013 00:00,30-06-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
30-06-2013 00:00,01-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
01-07-2013 00:00,02-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-07-2013 00:00,03-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-07-2013 00:00,04-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
