Date,Aerosol_Type_Land
2015-05-16,1.9628063960968438
2015-09-26,1.8845353860375815
2017-01-09,1.9231209012947705
2017-02-06,2.637425904699525
2017-02-11,2.3028734187819384
2017-03-22,1.9513595493445997
2017-10-14,1.9544647673221203
2017-10-31,1.7643571951602217
1993-01-01,1.0
2015-04-19,1.7716105743709523
2016-09-02,1.8779232927970066
2016-09-24,1.8083010394408026
2016-10-26,1.9580982287424562
2016-11-10,1.8718914078717082
2016-12-06,1.761478509144224
2017-04-11,1.790734125537654
2017-05-18,1.9156583629893238
2017-06-09,1.8254304086289153
2017-10-28,1.9709466577284045
1993-01-01,0.0
2015-03-29,1.9564720953547956
2015-07-09,1.9415559772296016
2016-03-17,1.9863183528890858
2016-03-21,1.9160557602461352
2016-04-25,1.8244396696169844
2016-08-07,1.9897058823529412
