CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,
Time: 01:27:27 AM,,,,,,,,,,,,,,,,,,,,
Station,"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T14:54:59Z 00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,
 , ,,Lodhi Road , , , , ,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone
03-07-2013 00:00,04-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
04-07-2013 00:00,05-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
05-07-2013 00:00,06-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
06-07-2013 00:00,07-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
07-07-2013 00:00,08-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
08-07-2013 00:00,09-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
09-07-2013 00:00,10-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
10-07-2013 00:00,11-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
11-07-2013 00:00,12-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
12-07-2013 00:00,13-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
13-07-2013 00:00,14-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
14-07-2013 00:00,15-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
15-07-2013 00:00,16-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
16-07-2013 00:00,17-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
17-07-2013 00:00,18-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
18-07-2013 00:00,19-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
19-07-2013 00:00,20-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
20-07-2013 00:00,21-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
21-07-2013 00:00,22-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
22-07-2013 00:00,23-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
23-07-2013 00:00,24-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
24-07-2013 00:00,25-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
25-07-2013 00:00,26-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
26-07-2013 00:00,27-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
27-07-2013 00:00,28-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-07-2013 00:00,29-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
29-07-2013 00:00,30-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
30-07-2013 00:00,31-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
31-07-2013 00:00,01-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
01-08-2013 00:00,02-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-08-2013 00:00,03-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
