CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 11:00:03 PM,,,,,,,,,,,,,,,,,,,,,
Station,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:28:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,
 , ,,East Arjun Nagar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene
16-06-2013 00:00,17-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-06-2013 00:00,18-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-06-2013 00:00,19-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-06-2013 00:00,20-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-06-2013 00:00,21-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-06-2013 00:00,22-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-06-2013 00:00,23-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-06-2013 00:00,24-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-06-2013 00:00,25-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-06-2013 00:00,26-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-06-2013 00:00,27-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-06-2013 00:00,28-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-06-2013 00:00,29-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-06-2013 00:00,30-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-06-2013 00:00,01-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-07-2013 00:00,02-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-07-2013 00:00,03-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-07-2013 00:00,04-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-07-2013 00:00,05-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-07-2013 00:00,06-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-07-2013 00:00,07-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-07-2013 00:00,08-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-07-2013 00:00,09-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-07-2013 00:00,10-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-07-2013 00:00,11-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-07-2013 00:00,12-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-07-2013 00:00,13-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-07-2013 00:00,14-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-07-2013 00:00,15-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-07-2013 00:00,16-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-07-2013 00:00,17-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-07-2013 00:00,18-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-07-2013 00:00,19-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-07-2013 00:00,20-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-07-2013 00:00,21-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-07-2013 00:00,22-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-07-2013 00:00,23-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-07-2013 00:00,24-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-07-2013 00:00,25-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-07-2013 00:00,26-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-07-2013 00:00,27-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-07-2013 00:00,28-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-07-2013 00:00,29-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-07-2013 00:00,30-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-07-2013 00:00,31-07-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-07-2013 00:00,01-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-08-2013 00:00,02-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-08-2013 00:00,03-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-08-2013 00:00,04-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-08-2013 00:00,05-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-08-2013 00:00,06-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-08-2013 00:00,07-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-08-2013 00:00,08-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-08-2013 00:00,09-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-08-2013 00:00,10-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-08-2013 00:00,11-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-08-2013 00:00,12-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-08-2013 00:00,13-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-08-2013 00:00,14-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-08-2013 00:00,15-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-08-2013 00:00,16-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-08-2013 00:00,17-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-08-2013 00:00,18-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-08-2013 00:00,19-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-08-2013 00:00,20-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-08-2013 00:00,21-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-08-2013 00:00,22-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-08-2013 00:00,23-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-08-2013 00:00,24-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-08-2013 00:00,25-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-08-2013 00:00,26-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-08-2013 00:00,27-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-08-2013 00:00,28-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-08-2013 00:00,29-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-08-2013 00:00,30-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-08-2013 00:00,31-08-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-08-2013 00:00,01-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-09-2013 00:00,02-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-09-2013 00:00,03-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-09-2013 00:00,04-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-09-2013 00:00,05-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-09-2013 00:00,06-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-09-2013 00:00,07-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-09-2013 00:00,08-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-09-2013 00:00,09-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-09-2013 00:00,10-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-09-2013 00:00,11-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-09-2013 00:00,12-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-09-2013 00:00,13-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-09-2013 00:00,14-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-09-2013 00:00,15-09-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
